"도착지전철역","역간소요분","외부코드","전철명명(영문)","전철역명","전철역코드","출발지전철역","호선"
"가오리","2","943","April 19th National Cemetery","4?19민주묘지","4703","4?19민주묘지","우이신설경전철"
"화계","2","944","Gaori","가오리","4704","가오리","우이신설경전철"
"삼양","2","945","Hwagye","화계","4705","화계","우이신설경전철"
"삼양사거리","2","946","Samyang","삼양","4706","삼양","우이신설경전철"
"솔샘","2","947","Samyang Sageori","삼양사거리","4707","삼양사거리","우이신설경전철"
"북한산보국문","2","948","Solsaem","솔샘","4708","솔샘","우이신설경전철"
"정릉","2","949","Bukhansan Bogungmun","북한산보국문","4709","북한산보국문","우이신설경전철"
"성신여대입구","2","950","Jeongneung","정릉","4710","정릉","우이신설경전철"
"보문","3","951","Sungshin Women`s Univ.","성신여대입구","4711","성신여대입구","우이신설경전철"
"이매","3","K410","Pangyo","판교","1501","판교","경강선"
"삼동","6","K411","Imae","이매","1502","이매","경강선"
"경기광주","5","K412","Samdong","삼동","1503","삼동","경강선"
"초월","4","K413","GyeonggiGwangju","경기광주","1504","경기광주","경강선"
"곤지암","5","K414","Chowol","초월","1505","초월","경강선"
"신둔도예촌","6","K415","Gonjiam","곤지암","1506","곤지암","경강선"
"이천","5","K416","Sindundoyechon","신둔도예촌","1507","신둔도예촌","경강선"
"부발","4","K417","Icheon","이천","1508","이천","경강선"
"세종대왕릉","6","K418","Bubal","부발","1509","부발","경강선"
"보산","3","101","Dongducheon","동두천","1915","동두천","01호선"
"동두천중앙","3","102","Bosan","보산","1914","보산","01호선"
"지행","2","103","Dongducheon jungang","동두천중앙","1913","동두천중앙","01호선"
"덕정","6","104","Jihaeng","지행","1912","지행","01호선"
"덕계","4","105","Deokjeong","덕정","1911","덕정","01호선"
"양주","6","106","Deokgye","덕계","1910","덕계","01호선"
"녹양","3","107","Yangju","양주","1909","양주","01호선"
"가능","2","108","Nogyang","녹양","1908","녹양","01호선"
"의정부","3","109","Ganeung","가능","1907","가능","01호선"
"회룡","3","110","Uijeongbu","의정부","1906","의정부","01호선"
"망월사","2","111","Hoeryong","회룡","1905","회룡","01호선"
"도봉산","3","112","Mangwolsa","망월사","1904","망월사","01호선"
"도봉","2","113","Dobongsan","도봉산","1903","도봉산","01호선"
"방학","2","114","Dobong","도봉","1902","도봉","01호선"
"창동","3","115","Banghak","방학","1901","방학","01호선"
"녹천","2","116","Chang-dong","창동","1022","창동","01호선"
"월계","3","117","Nokcheon","녹천","1021","녹천","01호선"
"광운대","3","118","Wolgye","월계","1020","월계","01호선"
"석계","3","119","Kwangwoon Univ.","광운대","1019","광운대","01호선"
"신이문","2","120","Seokgye","석계","1018","석계","01호선"
"외대앞","2","121","Sinimun","신이문","1017","신이문","01호선"
"회기","2","122","Hankuk Univ. of Foreign Studies","외대앞","1016","외대앞","01호선"
"청량리","3","123","Hoegi","회기","1015","회기","01호선"
"제기동","2","124","Cheongnyangni","청량리","0158","청량리","01호선"
"신설동","2","125","Jegi-dong","제기동","0157","제기동","01호선"
"동묘앞","2","126","Sinseol-dong","신설동","0156","신설동","01호선"
"동대문","2","127","Dongmyo","동묘앞","0159","동묘앞","01호선"
"종로5가","2","128","Dongdaemun","동대문","0155","동대문","01호선"
