"걸린시간","외부코드","전철명명(영문)","전철역명","전철역코드","호선"
"3","D16","Seongbok","성복","4316","신분당선"
"3","D17","Sanghyeon","상현","4317","신분당선"
"3","D18","GwanggyoJungang","광교중앙","4318","신분당선"
"2","133","Seoul Station","서울역","0150","01호선"
"3","132","City Hall","시청","0151","01호선"
"2","131","Jonggak","종각","0152","01호선"
"2","130","Jongno 3(sam)-ga","종로3가","0153","01호선"
"2","129","Jongno 5(o)-ga","종로5가","0154","01호선"
"3","128","Dongdaemun","동대문","0155","01호선"
"2","126","Sinseol-dong","신설동","0156","01호선"
"2","125","Jegi-dong","제기동","0157","01호선"
"5","124","Cheongnyangni","청량리","0158","01호선"
"15","127","Dongmyo","동묘앞","0159","01호선"
"3","134","Namyeong","남영","1002","01호선"
"4","135","Yongsan","용산","1003","01호선"
"3","136","Noryangjin","노량진","1004","01호선"
"4","137","Daebang","대방","1005","01호선"
"3","139","Yeongdeungpo","영등포","1006","01호선"
"38","140","Sindorim","신도림","1007","01호선"
"2","123","Hoegi","회기","1015","01호선"
"2","122","Hankuk Univ. of Foreign Studies","외대앞","1016","01호선"
"2","121","Sinimun","신이문","1017","01호선"
"3","120","Seokgye","석계","1018","01호선"
"3","119","Kwangwoon Univ.","광운대","1019","01호선"
"3","118","Wolgye","월계","1020","01호선"
"2","117","Nokcheon","녹천","1021","01호선"
"48","116","Chang-dong","창동","1022","01호선"
"109","138","Singil","신길","1032","01호선"
"3","P170","Bongmyeong","봉명","1401","01호선"
"3","P171","Ssangyong","쌍용","1402","01호선"
"5","P172","Asan","아산","1403","01호선"
"5","P174","Baebang","배방","1405","01호선"
"5","P176","Onyang oncheon","온양온천","1407","01호선"
"121","P177","Sinchang","신창","1408","01호선"
"5","141","Guro","구로","1701","01호선"
"5","P142","Gasan Digital Complex","가산디지털단지","1702","01호선"
"3","P144","Geumcheon-Gu Office","금천구청","1703","01호선"
"3","P145","Seoksu","석수","1704","01호선"
"3","P146","Gwanak","관악","1705","01호선"
"3","P147","Anyang","안양","1706","01호선"
