bus_route_id,bus_route_nm,seq,st_id,ars_id,st_nm,gps_x,gps_y,pos_x,pos_y,dist_next_st,time_next_st,trn_st_id,city_nm
100100549,100,9,110000337,11438,노원경찰서,127.0723129965,37.641825354,,,,,,서울
100100549,100,10,110000335,11436,하계1동주민센터,127.0729634977,37.6404744601,,,,,,서울
100100549,100,11,110000333,11434,골마을근린공원,127.0744265397,37.6383451615,,,,,,서울
100100549,100,12,110000325,11426,하계역,127.0695594596,37.6367787075,,,,,,서울
100100549,100,13,110000353,11454,하계우성아파트,127.066903007,37.635155239,,,,,,서울
100100549,100,14,110000351,11452,하계극동아파트,127.0647840048,37.6338384235,,,,,,서울
100100549,100,15,110000238,11339,월계보건지소,127.0616454031,37.6319022528,,,,,,서울
100100549,100,16,110000211,11311,인덕대학,127.0553103774,37.6279484387,,,,,,서울
100100549,100,17,110000210,11310,월계주공108동앞롯데캐슬루나아파트,127.0525763998,37.6262050932,,,,,,서울
100100549,100,18,108000098,09186,오현초등학교,127.0481201397,37.6233206964,,,,,,서울
100100549,100,19,108000373,09312,꿈의숲주차장입구,127.0454331119,37.6208240912,,,,,,서울
100100549,100,20,108000099,09187,북서울꿈의숲,127.044351703,37.6191103466,,,,,,서울
100100549,100,21,108000100,09188,송중동한일유엔아이,127.0380710764,37.6136824773,,,,,,서울
100100549,100,22,108000101,09189,창문여고앞,127.0360801756,37.612149839,,,,,,서울
100100549,100,23,108000102,09190,숭곡초등학교입구,127.0321633111,37.6100659535,,,,,,서울
100100549,100,24,107000001,08001,월곡뉴타운,127.028232048,37.6068897684,,,,,,서울
100100549,100,25,107000003,08003,길음뉴타운,127.0241845482,37.6036093788,,,,,,서울
100100549,100,26,107000005,08005,미아리고개.미아리예술극장,127.0216800673,37.5988124984,,,,,,서울
100100549,100,27,107000007,08007,돈암사거리.성신여대입구,127.0180870417,37.5937751071,,,,,,서울
100100549,100,28,107000009,08009,삼선교.한성대학교,127.0092102337,37.5898834226,,,,,,서울
100100549,100,29,100000005,01005,혜화동로터리.여운형활동터,127.0016943494,37.5862299819,,,,,,서울
100100549,100,30,100000003,01003,명륜3가.성대입구,126.9982901625,37.5827088189,,,,,,서울
100100549,100,31,100000002,01002,창경궁.서울대학교병원,126.9965201597,37.5791788583,,,,,,서울
100100549,100,32,100000102,01198,원남동,126.9973383362,37.5745325055,,,,,,서울
100100549,100,33,100000151,01247,광장시장,126.9978384311,37.5695021129,,,,,,서울
100100549,100,34,101000063,02162,을지로4가,126.9962218644,37.5666038467,,,,,,서울
100100549,100,35,101000061,02160,을지로3가,126.990379454,37.566313373,,,,,,서울
100100549,100,36,101000059,02158,을지로2가.기업은행본점.서울노동청,126.9865270687,37.5661750187,,,,,,서울
100100549,100,37,101000041,02140,롯데백화점,126.9821793435,37.5644712444,,,,,,서울
100100549,100,38,101000032,02127,북창동.남대문시장,126.9779334764,37.5610812855,,,,,,서울
