외부코드,전철명명(영문),전철역명,전철역코드,호선,출발지전철역,도착지전철역,역간소요분,
K262,Incheon Nonhyeon,인천논현,1881,수인분당선,인천논현,호구포,2,
K263,Hogupo,호구포,1882,수인분당선,호구포,남동인더스파크,2,
K264,Namdong Induspark,남동인더스파크,1883,수인분당선,남동인더스파크,원인재,2,
K265,Woninjae,원인재,1884,수인분당선,원인재,연수,2,
K266,Yeonsu,연수,1885,수인분당선,연수,송도,4,
K267,Songdo,송도,1886,수인분당선,송도,인하대,3,
K269,Inha Univ.,인하대,1888,수인분당선,인하대,숭의,3,
K270,Sungui,숭의,1889,수인분당선,숭의,신포,3,
K270,Sinpo,신포,1890,수인분당선,신포,인천,2,
P117,Cheongnyangni,청량리,1306,경춘선,청량리,회기,3,
P118,Hoegi,회기,1307,경춘선,회기,중랑,3,
P119,Jungnang,중랑,1308,경춘선,중랑,상봉,2,
P120,Sangbong,상봉,1309,경춘선,상봉,망우,2,
P120-1,Kwangwoon Univ.,광운대,1307,경춘선,광운대,상봉,2,
P121,Mangu,망우,1310,경춘선,망우,신내,3,
P122,Sinnae,신내,1311,경춘선,신내,갈매,4,
P123,Galmae,갈매,1312,경춘선,갈매,별내,2,
P124,Byeollae,별내,1313,경춘선,별내,퇴계원,3,
P125,Toegyewon,퇴계원,1314,경춘선,퇴계원,사릉,4,
P126,Sareung,사릉,1315,경춘선,사릉,금곡,4,
P127,Geumgok,금곡,1316,경춘선,금곡,평내호평,4,
P128,PyeongnaeHopyeong,평내호평,1317,경춘선,평내호평,천마산,3,
P129,Cheonmasan,천마산,1318,경춘선,천마산,마석,4,
P130,Maseok,마석,1319,경춘선,마석,대성리,6,
P131,Daeseong-ri,대성리,1320,경춘선,대성리,청평,7,
P132,Cheongpyeong,청평,1321,경춘선,청평,상천,5,
P133,Sangcheon,상천,1322,경춘선,상천,가평,6,
P134,Gapyeong,가평,1323,경춘선,가평,굴봉산,5,
P135,Gulbongsan,굴봉산,1324,경춘선,굴봉산,백양리,4,
P136,Baegyang-ri,백양리,1325,경춘선,백양리,강촌,5,
P137,Gangchon,강촌,1326,경춘선,강촌,김유정,6,
P138,Gimyujeong,김유정,1327,경춘선,김유정,남춘천,6,
P139,Chuncheon,춘천,1328,경춘선,남춘천,춘천,4,
841,Sosa,소사,4804,서해선,소사,소새울,3,
842,Sosaeul,소새울,4805,서해선,소새울,시흥대야,3,
843,Siheung Daeya,시흥대야,4806,서해선,시흥대야,신천,3,
844,Sincheon,신천,4807,서해선,신천,신현,4,
845,Sinhyeon,신현,4808,서해선,신현,시흥시청,4,
846,Siheung City Hall,시흥시청,4809,서해선,시흥시청,시흥능곡,2,
847,Siheung Neunggok,시흥능곡,4810,서해선,시흥능곡,달미,4,
848,Dalmi,달미,4811,서해선,달미,선부,3,
849,Seonbu,선부,4812,서해선,선부,초지,3,
850,Choji,초지,4813,서해선,초지,시우,2,
701,Siu,시우,4814,서해선,시우,원시,2,
I201,Geomdan Oryu,검단오류,3201,인천2호선,검단오류,왕길,2,
I202,Wanggil,왕길,3202,인천2호선,왕길,검단사거리,2,
I203,Geomdan Sageori,검단사거리,3203,인천2호선,검단사거리,마전,2,
I204,Majeon,마전,3204,인천2호선,마전,완정,1,
I205,Wanjeong,완정,3205,인천2호선,완정,독정,1,
I206,Dokjeong,독정,3206,인천2호선,독정,검암,2,
I207,Geomam,검암,3207,인천2호선,검암,검바위,1,
I208,Geombawi,검바위,3208,인천2호선,검바위,아시아드경기장,2,
I209,Asiad Stadium,아시아드경기장,3209,인천2호선,아시아드경기장,서구청,2,
I210,Seo-gu Office,서구청,3210,인천2호선,서구청,가정,2,
I211,Gajeong,가정,3211,인천2호선,가정,가정중앙시장,2,
I212,Gajeong Jungang Market,가정중앙시장,3212,인천2호선,가정중앙시장,석남,1,
I213,Seongnam,석남,3213,인천2호선,석남,서부여성회관,1,
I214,West Woman's Community Center,서부여성회관,3214,인천2호선,서부여성회관,인천가좌,1,
I215,Incheon Gajwa,인천가좌,3215,인천2호선,인천가좌,가재울,2,
I216,Gajaeul,가재울,3216,인천2호선,가재울,주안국가산단,2,
I217,Juan National Industrial Complex,주안국가산단,3217,인천2호선,주안국가산단,주안,1,
I218,Juan,주안,3218,인천2호선,주안,시민공원,2,
I219,Citizens Park,시민공원,3219,인천2호선,시민공원,석바위시장,1,
I220,Seokbawi Market,석바위시장,3220,인천2호선,석바위시장,인천시청,1,
I221,Inchon City Hall,인천시청,3221,인천2호선,인천시청,석천사거리,1,
I222,Seokcheon Sageori,석천사거리,3222,인천2호선,석천사거리,모래내시장,1,
I223,Moraenae Market,모래내시장,3223,인천2호선,모래내시장,만수,1,
I224,Mansu,만수,3224,인천2호선,만수,남동구청,2,
I225,Namdong-gu Office,남동구청,3225,인천2호선,남동구청,인천대공원,2,
I226,Inchon Park,인천대공원,3226,인천2호선,인천대공원,운연,2,
U110,Balgok,발곡,4601,의정부경전철,발곡,회룡,2,
U111,Hoeryong,회룡,4602,의정부경전철,회룡,범골,1,
U112,Beomgol,범골,4603,의정부경전철,범골,경전철의정부,2,
U113,Lrt Uijeongbu,경전철의정부,4604,의정부경전철,경전철의정부,의정부시청,2,
U114,Uijeongbu City Hall,의정부시청,4605,의정부경전철,의정부시청,흥선,1,
U115,Heungseon,흥선,4606,의정부경전철,흥선,의정부중앙,2,
U117,Uijeongbu Jung-ang,의정부중앙,4607,의정부경전철,의정부중앙,동오,1,
U118,Dong-o,동오,4608,의정부경전철,동오,새말,2,
U119,sae-mal,새말,4609,의정부경전철,새말,경기도청북부청사,1,
