"ars_id","st_id","st_nm","gps_x","gps_y","pos_x","pos_y","trans_yn","area_nm","route_ids","route_nms"
"04182","103000083",성수공고앞,"127.0509024434","37.5399537995","204498.09433117308","448945.1806686227",N,서울,"100100201|100100209|100100210","2224|2412|2413"
"04183","103000084",경일초등학교입구,"127.0461820347","37.5410911213","204080.9041360526","449071.1806822894",N,서울,"100100209","2412"
"04184","103000085",경일초등학교입구,"127.0462343378","37.5413654739","204085.51096144418","449101.6294923527",N,서울,"100100209","2412"
"04185","103000086",성동교남단,"127.0444852496","37.5498324007","203930.5076711318","450041.18081944017",N,서울,"100100583|100100189|100100522|100100588","121|2014|2016|N62"
"04186","103000087",성동교남단,"127.0439627696","37.5505075164","203884.30875391085","450116.08081865497",N,서울,"100100583|100100189|100100522|100100588","121|2014|2016|N62"
"04187","103000088",상원,"127.0459733296","37.5513591865","204061.9045760922","450210.68083877023",N,서울,"100100186|100100199|100100052","2012|2222|302"
"04188","103000089",상원,"127.0468269187","37.5517093769","204137.30280644813","450249.580840969",N,서울,"100100186|100100199|100100052","2012|2222|302"
"04189","103000090",영동대교북단,"127.0606419633","37.5367692297","205358.97411334392","448592.2806410752",N,서울,"100100025|100100407|100100210|104000006|100100216|100100234|100100589","146|240|2413|242|3217|4212|N61"
"04190","103000091",경수중학교,"127.0621966798","37.5394212498","205496.17088508833","448886.6806729608",N,서울,"100100025|104000006|100100216|100100234|100100589","146|242|3217|4212|N61"
"04191","103000092",성수119안전센터,"127.060132085","37.5373416869","205313.8751717346","448655.7806443847",N,서울,"100100201|100100209|100100210","2224|2412|2413"
"04192","103000093",성수119안전센터,"127.059997","37.537532","205301.924227769","448676.8931833133",N,서울,"100100201|100100209|100100210","2224|2412|2413"
"04193","103000094",경수중학교,"127.0570118184","37.5381650347","205038.08164500218","448746.9806509218",N,서울,"100100201|100100209|100100210","2224|2412|2413"
"04194","103000095",경수중학교,"127.0572982039","37.5382865442","205063.38105228724","448760.48065797426",N,서울,"100100201|100100209|100100210","2224|2412|2413"
"04195","103000096",뚝도시장,"127.0553996133","37.5385866142","204895.58499713874","448793.6806596457",N,서울,"100100201|100100209|100100210","2224|2412|2413"
"04196","103000097",뚝도시장,"127.0556995743","37.5387045167","204922.0843757451","448806.7806541552",N,서울,"100100201|100100209|100100210","2224|2412|2413"
"04197","103000098",성원중성수동이마트앞,"127.0534264696","37.5390939396","204721.18909450812","448849.8806598382",N,서울,"100100201|100100209|100100210","2224|2412|2413"
"04198","103000099",성원중성수동이마트앞,"127.0534470134","37.5393390286","204722.98904916437","448877.080666183",N,서울,"100100201|100100209|100100210","2224|2412|2413"
